13,K,1550.0,0.01845,0.0001192,-0.02405,0.0242,-0.02657,0.1411,0.0002705,-0.09103,-0.4882,-1.14,1.146,0.1235,4.506e-07,0.05507,7.234,-0.1831,0.08972
13,L2,81.19,0.342,0.001813,-0.5546,0.814,-2.562,0.6439,9.221e-05,-1.033,-0.2166,-4.551,1.017,0.6427,1.048e-05,0.008418,8.985,-0.04279,0.02994
13,L3,80.71,0.4868,0.002588,-0.7885,1.149,-3.613,0.768,0.0001217,-1.229,-0.2673,-5.413,1.015,0.642,2.111e-05,0.008386,8.987,-0.03872,0.02986
13,L1,119.0,0.2023,0.0005956,-0.2945,0.3259,-1.059,0.449,0.0006241,-0.191,-2.506,-0.2912,1.315,0.5508,3.316e-06,0.0156,10.68,-0.07772,0.04758
14,K,1829.0,0.01556,0.000106,-0.02007,0.0202,-0.02253,0.1295,0.0002718,-0.08146,-0.4591,-1.101,1.136,0.1377,3.743e-07,0.06205,7.142,-0.2066,0.09527
14,L2,108.6,0.2644,0.001405,-0.4085,0.6416,-1.827,0.5668,3.642e-05,-0.8719,-0.3213,-3.783,0.9997,0.5333,8.3e-06,0.009557,8.738,-0.0462,0.03241
14,L3,107.9,0.3765,0.002008,-0.5809,0.9041,-2.565,0.6763,5.191e-05,-1.039,-0.3899,-4.499,0.9982,0.5313,1.674e-05,0.009489,8.74,-0.04121,0.03218
14,L1,151.5,0.1623,0.0005205,-0.2236,0.2076,-0.501,0.4005,0.0006554,-0.1424,-2.286,-0.3967,1.252,0.5392,2.749e-06,0.01736,10.43,-0.08262,0.05026
15,K,2130.0,0.01329,9.575e-05,-0.01694,0.01655,-0.01726,0.1195,0.0002782,-0.07272,-0.4381,-1.026,1.127,0.1515,3.156e-07,0.07222,7.057,-0.2434,0.1106
15,L2,139.1,0.2106,0.001167,-0.31,0.4647,-1.093,0.5073,5.346e-06,-0.7554,-0.3854,-2.896,0.9774,0.4629,6.758e-06,0.01055,8.521,-0.04725,0.03392
15,L3,138.1,0.3003,0.001662,-0.4419,0.6598,-1.539,0.605,3.697e-05,-0.897,-0.4823,-3.366,0.9786,0.4541,1.364e-05,0.01032,8.522,-0.04071,0.03296
15,L1,187.1,0.1335,0.0004551,-0.1764,0.1378,-0.1945,0.3619,0.000669,-0.1083,-2.119,-0.1714,1.205,0.5329,2.315e-06,0.01938,10.22,-0.08912,0.05407
16,K,2456.0,0.01149,8.737e-05,-0.01452,0.01423,-0.01509,0.1109,0.0002842,-0.06572,-0.4159,-0.9851,1.114,0.1668,2.695e-07,0.08037,6.975,-0.2722,0.1174
16,L2,172.7,0.1721,0.0009909,-0.2432,0.3414,-0.6045,0.4593,2.036e-06,-0.6654,-0.4217,-2.294,0.9601,0.4126,5.619e-06,0.01158,8.329,-0.05075,0.03549
